,회계연도,지역명,자치단체코드,자치단체명,정책사업예산총계
61,2010, 서울,1111000, 서울종로구,92328464000
116,2010, 서울,1112000, 서울중구,1.03334E+11
149,2010, 서울,1113000, 서울용산구,74635971000
186,2010, 서울,1114000, 서울성동구,1.03622E+11
213,2010, 서울,1115000, 서울광진구,1.0856E+11
266,2010, 서울,1116000, 서울동대문구,1.38949E+11
443,2010, 서울,1121000, 서울노원구,2.22444E+11
459,2010, 서울,1122000, 서울은평구,1.51657E+11
523,2010, 서울,1124000, 서울마포구,1.33626E+11
577,2010, 서울,1125000, 서울양천구,1.29386E+11
607,2010, 서울,1126000, 서울강서구,2.02503E+11
633,2010, 서울,1127000, 서울구로구,1.27947E+11
675,2010, 서울,1128000, 서울금천구,1.19492E+11
715,2010, 서울,1129000, 서울영등포구,1.58099E+11
747,2010, 서울,1130000, 서울동작구,1.3425E+11
791,2010, 서울,1131000, 서울관악구,1.56425E+11
812,2010, 서울,1132000, 서울서초구,1.86845E+11
844,2010, 서울,1133000, 서울강남구,3.08861E+11
910,2010, 서울,1134000, 서울송파구,1.7849E+11
953,2010, 서울,1135000, 서울강동구,1.2439E+11
496,2010, 서울,1123000, 서울서대문구,1.12105E+11
307,2010, 서울,1117000, 서울중랑구,1.43499E+11
366,2010, 서울,1119000, 서울강북구,1.42319E+11
329,2010, 서울,1118000, 서울성북구,1.64911E+11
396,2010, 서울,1120000, 서울도봉구,1.11963E+11
71,2010, 부산,2611000, 부산중구,40833261000
1161,2010, 부산,2612000, 부산서구,81553890000
167,2010, 부산,2614000, 부산영도구,87240946000
224,2010, 부산,2615000, 부산부산진구,1.44758E+11
263,2010, 부산,2616000, 부산동래구,84419851000
279,2010, 부산,2617000, 부산남구,1.00236E+11
341,2010, 부산,2619000, 부산해운대구,1.75497E+11
400,2010, 부산,2620000, 부산사하구,1.45344E+11
491,2010, 부산,2623000, 부산연제구,84656176000
565,2010, 부산,2625000, 부산사상구,1.22041E+11
625,2010, 부산,2671000, 부산기장군,1.11527E+11
333,2010, 부산,2618000, 부산북구,1.54292E+11
137,2010, 부산,2613000, 부산동구,72770946000
431,2010, 부산,2621000, 부산금정구,1.0446E+11
452,2010, 부산,2622000, 부산강서구,68664841000
527,2010, 부산,2624000, 부산수영구,64061049000
611,2010, 대구,2711000, 대구중구,57090798000
105,2010, 대구,2712000, 대구동구,1.86221E+11
127,2010, 대구,2713000, 대구서구,98447870000
159,2010, 대구,2714000, 대구남구,91691189000
246,2010, 대구,2716000, 대구수성구,1.71927E+11
289,2010, 대구,2717000, 대구달서구,1.97624E+11
321,2010, 대구,2771000, 대구달성군,2.21649E+11
197,2010, 대구,2715000, 대구북구,1.78954E+11
75,2010, 인천,2811000, 인천중구,77715890000
139,2010, 인천,2812000, 인천동구,60691028000
164,2010, 인천,2813000, 인천남구,1.78314E+11
200,2010, 인천,2814000, 인천연수구,1.30504E+11
238,2010, 인천,2815000, 인천남동구,2.20056E+11
2661,2010, 인천,2816000, 인천부평구,2.28575E+11
303,2010, 인천,2817000, 인천계양구,1.43748E+11
345,2010, 인천,2818000, 인천서구,1.73331E+11
376,2010, 인천,2871000, 인천강화군,2.16876E+11
418,2010, 인천,2872000, 인천옹진군,88126564000
56,2010, 광주,2911000, 광주동구,77623039000
144,2010, 광주,2913000, 광주남구,1.12016E+11
1641,2010, 광주,2914000, 광주북구,2.07853E+11
196,2010, 광주,2915000, 광주광산구,1.68926E+11
1051,2010, 광주,2912000, 광주서구,1.39826E+11
62,2010, 대전,3011000, 대전동구,1.5509E+11
94,2010, 대전,3012000, 대전중구,1.2993E+11
163,2010, 대전,3013000, 대전서구,1.59331E+11
194,2010, 대전,3014000, 대전유성구,1.32227E+11
216,2010, 대전,3015000, 대전대덕구,1.18348E+11
59,2010, 울산,3111000, 울산중구,84464653000
99,2010, 울산,3112000, 울산남구,1.05212E+11
131,2010, 울산,3113000, 울산동구,60310303000
199,2010, 울산,3114000, 울산북구,62941282000
218,2010, 울산,3171000, 울산울주군,2.645E+11
111,2010, 강원,4212000, 강원원주시,3.38039E+11
1941,2010, 강원,4213000, 강원강릉시,2.76295E+11
237,2010, 강원,4214000, 강원동해시,1.2954E+11
291,2010, 강원,4215000, 강원태백시,1.13108E+11
335,2010, 강원,4216000, 강원속초시,1.13434E+11
383,2010, 강원,4217000, 강원삼척시,1.89475E+11
458,2010, 강원,4272000, 강원횡성군,1.15964E+11
6071,2010, 강원,4275000, 강원정선군,2.0065E+11
690,2010, 강원,4277000, 강원화천군,1.1673E+11
732,2010, 강원,4278000, 강원양구군,1.07339E+11
649,2010, 강원,4276000, 강원철원군,1.15989E+11
846,2010, 강원,4281000, 강원양양군,88484903000
64,2010, 강원,4211000, 강원춘천시,4.14045E+11
415,2010, 강원,4271000, 강원홍천군,1.86165E+11
479,2010, 강원,4273000, 강원영월군,1.67224E+11
524,2010, 강원,4274000, 강원평창군,1.52717E+11
752,2010, 강원,4279000, 강원인제군,1.25847E+11
795,2010, 강원,4280000, 강원고성군,1.23268E+11
93,2010, 충북,4311000, 충북청주시,6.59094E+11
97,2010, 충북,4312000, 충북충주시,3.20781E+11
148,2010, 충북,4313000, 충북제천시,2.90118E+11
207,2010, 충북,4371000, 충북청원군,3.09E+11
309,2010, 충북,4373000, 충북옥천군,1.58238E+11
550,2010, 충북,4378000, 충북단양군,1.4015E+11
244,2010, 충북,4372000, 충북보은군,1.3149E+11
338,2010, 충북,4374000, 충북영동군,1.42933E+11
3831,2010, 충북,4375000, 충북진천군,1.39817E+11
422,2010, 충북,4376000, 충북괴산군,1.67854E+11
478,2010, 충북,4377000, 충북음성군,1.65292E+11
558,2010, 충북,4379000, 충북증평군,86231875000
69,2010, 충남,4411000, 충남천안시,6.32231E+11
107,2010, 충남,4412000, 충남공주시,2.63056E+11
171,2010, 충남,4413000, 충남보령시,2.09387E+11
225,2010, 충남,4414000, 충남아산시,3.87275E+11
264,2010, 충남,4415000, 충남서산시,2.87618E+11
346,2010, 충남,4417000, 충남계룡시,68346088000
465,2010, 충남,4472000, 충남연기군,1.63808E+11
468,2010, 충남,4473000, 충남부여군,2.34785E+11
535,2010, 충남,4474000, 충남서천군,1.58743E+11
573,2010, 충남,4475000, 충남청양군,1.31925E+11
630,2010, 충남,4476000, 충남홍성군,1.73957E+11
682,2010, 충남,4477000, 충남예산군,1.61323E+11
722,2010, 충남,4478000, 충남태안군,1.65914E+11
781,2010, 충남,4418000, 충남당진시,3.06077E+11
398,2010, 충남,4471000, 충남금산군,1.63881E+11
298,2010, 충남,4416000, 충남논산시,2.54632E+11
77,2010, 전북,4511000, 전북전주시,5.8228E+11
165,2010, 전북,4513000, 전북익산시,4.25142E+11
241,2010, 전북,4514000, 전북정읍시,2.79059E+11
2662,2010, 전북,4515000, 전북남원시,2.86081E+11
3211,2010, 전북,4516000, 전북김제시,2.81667E+11
372,2010, 전북,4571000, 전북완주군,2.85079E+11
410,2010, 전북,4572000, 전북진안군,1.29357E+11
617,2010, 전북,4577000, 전북고창군,2.34437E+11
125,2010, 전북,4512000, 전북군산시,3.81405E+11
454,2010, 전북,4573000, 전북무주군,1.27467E+11
489,2010, 전북,4574000, 전북장수군,1.1769E+11
5651,2010, 전북,4576000, 전북순창군,1.41559E+11
518,2010, 전북,4575000, 전북임실군,1.65679E+11
652,2010, 전북,4578000, 전북부안군,1.61884E+11
541,2010, 전남,4611000, 전남목포시,3.9811E+11
1052,2010, 전남,4612000, 전남여수시,4.34257E+11
152,2010, 전남,4613000, 전남순천시,4.23978E+11
228,2010, 전남,4614000, 전남나주시,2.50613E+11
235,2010, 전남,4615000, 전남광양시,2.28888E+11
328,2010, 전남,4672000, 전남곡성군,1.21876E+11
450,2010, 전남,4674000, 전남고흥군,2.36606E+11
606,2010, 전남,4678000, 전남강진군,1.31721E+11
644,2010, 전남,4679000, 전남해남군,2.27748E+11
688,2010, 전남,4680000, 전남영암군,1.9549E+11
763,2010, 전남,4682000, 전남함평군,1.37307E+11
818,2010, 전남,4683000, 전남영광군,1.74935E+11
842,2010, 전남,4684000, 전남장성군,1.55052E+11
886,2010, 전남,4685000, 전남완도군,1.6592E+11
942,2010, 전남,4686000, 전남진도군,1.4907E+11
980,2010, 전남,4687000, 전남신안군,2.41365E+11
3961,2010, 전남,4673000, 전남구례군,1.15694E+11
495,2010, 전남,4675000, 전남보성군,1.85973E+11
728,2010, 전남,4681000, 전남무안군,1.78204E+11
299,2010, 전남,4671000, 전남담양군,1.75943E+11
517,2010, 전남,4676000, 전남화순군,2.6142E+11
564,2010, 전남,4677000, 전남장흥군,1.78703E+11
90,2010, 경북,4711000, 경북포항시,5.48626E+11
1071,2010, 경북,4712000, 경북경주시,4.4543E+11
203,2010, 경북,4714000, 경북안동시,3.31014E+11
290,2010, 경북,4716000, 경북영주시,2.11702E+11
332,2010, 경북,4717000, 경북영천시,2.81216E+11
4951,2010, 경북,4720000, 경북경산시,2.86979E+11
509,2010, 경북,4771000, 경북군위군,1.04719E+11
716,2010, 경북,4775000, 경북영덕군,1.51341E+11
777,2010, 경북,4777000, 경북고령군,1.15707E+11
810,2010, 경북,4778000, 경북성주군,1.41151E+11
852,2010, 경북,4779000, 경북칠곡군,2.05319E+11
894,2010, 경북,4780000, 경북예천군,1.52611E+11
940,2010, 경북,4781000, 경북봉화군,1.59788E+11
2631,2010, 경북,4715000, 경북구미시,8.01973E+11
575,2010, 경북,4772000, 경북의성군,2.15924E+11
172,2010, 경북,4713000, 경북김천시,2.50128E+11
377,2010, 경북,4718000, 경북상주시,3.12526E+11
420,2010, 경북,4719000, 경북문경시,2.01395E+11
6072,2010, 경북,4773000, 경북청송군,1.24369E+11
650,2010, 경북,4774000, 경북영양군,1.03166E+11
738,2010, 경북,4776000, 경북청도군,1.23074E+11
982,2010, 경북,4782000, 경북울진군,2.76377E+11
1030,2010, 경북,4783000, 경북울릉군,45005014000
96,2010, 경남,4811000, 경남창원시,5.66678E+11
1162,2010, 경남,4812000, 경남마산시,4.58287E+11
175,2010, 경남,4813000, 경남진주시,4.67556E+11
2251,2010, 경남,4814000, 경남진해시,1.57672E+11
254,2010, 경남,4815000, 경남통영시,2.12268E+11
324,2010, 경남,4816000, 경남사천시,2.60653E+11
379,2010, 경남,4817000, 경남김해시,6.03902E+11
437,2010, 경남,4819000, 경남거제시,2.32894E+11
494,2010, 경남,4820000, 경남양산시,3.61666E+11
572,2010, 경남,4872000, 경남함안군,1.77E+11
695,2010, 경남,4874000, 경남고성군,1.68386E+11
734,2010, 경남,4875000, 경남남해군,1.42985E+11
786,2010, 경남,4876000, 경남하동군,1.7982E+11
838,2010, 경남,4877000, 경남산청군,1.78392E+11
889,2010, 경남,4879000, 경남거창군,2.08844E+11
639,2010, 경남,4873000, 경남창녕군,1.91044E+11
404,2010, 경남,4818000, 경남밀양시,2.4783E+11
537,2010, 경남,4871000, 경남의령군,1.60556E+11
856,2010, 경남,4878000, 경남함양군,2.0386E+11
943,2010, 경남,4880000, 경남합천군,2.05037E+11
35,2010, 제주,4900000, 제주본청,1.30273E+12
