시별,코드,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
충남천안시,4411000,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 ,636 
충남공주시,4412000,941 ,941 ,941 ,941 ,941 ,941 ,940 ,940 ,940 ,940 ,940 ,940 ,864 ,864 ,864 ,864 ,864 
충남보령시,4413000,568 ,568 ,568 ,568 ,568 ,569 ,569 ,569 ,569 ,569 ,569 ,569 ,569 ,569 ,569 ,569 ,574 
충남아산시,4414000,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 
충남서산시,4415000,739 ,739 ,739 ,739 ,739 ,740 ,740 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 
충남논산시,4416000,616 ,616 ,616 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 ,555 
충남계룡시,4417000,0 ,0 ,0 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 ,61 
충남당진시,4418000,655 ,664 ,664 ,664 ,664 ,665 ,665 ,666 ,666 ,694 ,695 ,695 ,695 ,695 ,704 ,704 ,704 
충남금산군,4471000,576 ,576 ,576 ,576 ,576 ,576 ,576 ,576 ,576 ,576 ,577 ,577 ,577 ,577 ,577 ,577 ,577 
충남연기군,4472000,362 ,362 ,361 ,361 ,362 ,361 ,361 ,361 ,361 ,361 ,361 ,361 ,361 ,0 ,0 ,0 ,0 
충남부여군,4473000,624 ,625 ,625 ,625 ,625 ,625 ,624 ,624 ,625 ,625 ,625 ,625 ,625 ,624 ,624 ,624 ,625 
충남서천군,4474000,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,366 
충남청양군,4475000,480 ,480 ,480 ,480 ,480 ,480 ,479 ,479 ,479 ,479 ,479 ,479 ,479 ,479 ,479 ,479 ,479 
충남홍성군,4476000,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 ,444 
충남예산군,4477000,543 ,543 ,543 ,543 ,543 ,543 ,543 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,542 ,543 ,543 
충남태안군,4478000,504 ,505 ,505 ,505 ,505 ,505 ,505 ,505 ,505 ,505 ,505 ,505 ,516 ,516 ,516 ,516 ,516 
전북전주시,4511000,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 ,206 
전북군산시,4512000,378 ,378 ,378 ,378 ,380 ,382 ,382 ,390 ,390 ,390 ,395 ,396 ,395 ,395 ,396 ,396 ,396 
전북익산시,4513000,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 ,507 
전북정읍시,4514000,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 ,693 
전북남원시,4515000,753 ,753 ,753 ,753 ,753 ,753 ,753 ,753 ,753 ,753 ,753 ,752 ,752 ,752 ,752 ,752 ,752 
전북김제시,4516000,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,545 ,546 
전북완주군,4571000,821 ,821 ,821 ,821 ,821 ,821 ,821 ,821 ,820 ,820 ,821 ,821 ,821 ,821 ,821 ,821 ,821 
전북진안군,4572000,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 ,789 
전북무주군,4573000,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 ,632 
전북장수군,4574000,534 ,534 ,534 ,534 ,534 ,534 ,533 ,533 ,533 ,533 ,534 ,533 ,533 ,533 ,533 ,533 ,533 
전북임실군,4575000,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 ,597 
전북순창군,4576000,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 ,496 
전북고창군,4577000,607 ,607 ,607 ,607 ,607 ,607 ,607 ,608 ,608 ,608 ,608 ,608 ,608 ,608 ,608 ,608 ,608 
전북부안군,4578000,494 ,494 ,494 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,493 ,494 
전남목포시,4611000,47 ,47 ,47 ,47 ,48 ,48 ,48 ,49 ,50 ,50 ,50 ,50 ,50 ,51 ,51 ,52 ,52 
전남여수시,4612000,498 ,498 ,499 ,499 ,499 ,499 ,501 ,501 ,502 ,502 ,503 ,503 ,504 ,504 ,509 ,509 ,510 
전남순천시,4613000,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,907 ,910 ,910 ,910 ,910 ,911 
전남나주시,4614000,604 ,604 ,604 ,604 ,604 ,604 ,604 ,604 ,608 ,609 ,609 ,609 ,609 ,609 ,608 ,608 ,608 
전남광양시,4615000,446 ,446 ,447 ,447 ,448 ,449 ,450 ,452 ,453 ,454 ,456 ,456 ,459 ,460 ,460 ,462 ,463 
전남담양군,4671000,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 ,455 
전남곡성군,4672000,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 ,547 
전남구례군,4673000,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 ,443 
전남고흥군,4674000,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,776 ,807 ,807 ,807 ,807 
전남보성군,4675000,663 ,663 ,663 ,663 ,663 ,663 ,663 ,663 ,664 ,663 ,663 ,663 ,664 ,664 ,664 ,664 ,664 
전남화순군,4676000,786 ,786 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 ,787 
전남장흥군,4677000,618 ,618 ,618 ,618 ,618 ,618 ,618 ,618 ,618 ,618 ,618 ,622 ,622 ,622 ,622 ,622 ,622 
전남강진군,4678000,496 ,496 ,496 ,500 ,500 ,500 ,500 ,500 ,500 ,500 ,500 ,500 ,500 ,501 ,501 ,501 ,501 
전남해남군,4679000,860 ,860 ,882 ,887 ,887 ,907 ,907 ,917 ,988 ,996 ,1006 ,1006 ,1013 ,1013 ,1013 ,1013 ,1015 
전남영암군,4680000,544 ,544 ,566 ,566 ,566 ,566 ,585 ,587 ,591 ,602 ,602 ,603 ,603 ,603 ,603 ,603 ,604 
전남무안군,4681000,436 ,436 ,436 ,436 ,436 ,436 ,436 ,447 ,448 ,448 ,448 ,449 ,449 ,449 ,450 ,450 ,450 
전남함평군,4682000,393 ,393 ,393 ,393 ,393 ,393 ,393 ,393 ,393 ,392 ,392 ,392 ,392 ,392 ,392 ,392 ,392 
전남영광군,4683000,473 ,473 ,474 ,474 ,474 ,474 ,474 ,474 ,474 ,474 ,474 ,475 ,475 ,475 ,475 ,475 ,475 
전남장성군,4684000,519 ,519 ,519 ,519 ,519 ,519 ,519 ,519 ,519 ,519 ,519 ,519 ,518 ,518 ,518 ,518 ,518 
전남완도군,4685000,392 ,393 ,393 ,393 ,395 ,395 ,395 ,395 ,396 ,395 ,396 ,396 ,396 ,396 ,396 ,396 ,396 
전남진도군,4686000,430 ,431 ,431 ,431 ,431 ,431 ,431 ,431 ,440 ,440 ,440 ,440 ,440 ,440 ,440 ,440 ,440 
전남신안군,4687000,653 ,654 ,654 ,654 ,654 ,654 ,655 ,655 ,655 ,655 ,655 ,655 ,655 ,656 ,656 ,656 ,656 
경북포항시,4711000,1127 ,1128 ,1128 ,1128 ,1128 ,1128 ,1128 ,1128 ,1128 ,1129 ,1129 ,1129 ,1130 ,1130 ,1130 ,1130 ,1130 
경북경주시,4712000,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1324 ,1325 ,1325 ,1325 ,1325 ,1325 
경북김천시,4713000,1010 ,1010 ,1010 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 ,1009 
경북안동시,4714000,1520 ,1520 ,1520 ,1520 ,1521 ,1521 ,1521 ,1521 ,1521 ,1521 ,1522 ,1522 ,1522 ,1522 ,1522 ,1522 ,1522 
경북구미시,4715000,617 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,615 ,616 ,616 ,616 ,615 ,615 ,615 ,615 ,615 
경북영주시,4716000,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 ,669 
경북영천시,4717000,920 ,920 ,920 ,920 ,920 ,920 ,920 ,920 ,920 ,920 ,921 ,920 ,919 ,919 ,919 ,919 ,919 
경북상주시,4718000,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 ,1255 
경북문경시,4719000,912 ,912 ,912 ,912 ,912 ,912 ,912 ,911 ,911 ,911 ,912 ,912 ,912 ,912 ,912 ,912 ,912 
경북경산시,4720000,411 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 ,412 
경북군위군,4771000,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 ,614 
경북의성군,4772000,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1176 ,1175 ,1175 ,1175 ,1175 ,1175 
경북청송군,4773000,843 ,843 ,842 ,842 ,842 ,842 ,843 ,843 ,845 ,845 ,845 ,846 ,846 ,846 ,846 ,846 ,846 
경북영양군,4774000,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,815 ,816 
경북영덕군,4775000,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 ,741 
경북청도군,4776000,697 ,697 ,697 ,697 ,697 ,697 ,697 ,697 ,697 ,697 ,694 ,694 ,694 ,694 ,694 ,694 ,694 
경북고령군,4777000,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 ,384 
경북성주군,4778000,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 ,616 
경북칠곡군,4779000,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 ,451 
경북예천군,4780000,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 ,661 
경북봉화군,4781000,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1201 ,1202 ,1202 
경북울진군,4782000,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,989 ,990 
경북울릉군,4783000,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 ,73 
경남창원시,4811000,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,293 ,744 ,745 ,745 ,747 ,747 ,748 ,748 
경남마산시,4812000,329 ,330 ,330 ,330 ,330 ,330 ,330 ,330 ,331 ,331 ,331 ,0 ,0 ,0 ,0 ,0 ,0 
경남진주시,4813000,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 ,713 
경남진해시,4814000,112 ,112 ,112 ,112 ,113 ,113 ,114 ,114 ,120 ,120 ,120 ,0 ,0 ,0 ,0 ,0 ,0 
경남통영시,4815000,237 ,237 ,237 ,237 ,237 ,238 ,238 ,239 ,239 ,239 ,239 ,239 ,239 ,239 ,240 ,240 ,240 
경남사천시,4816000,397 ,397 ,397 ,397 ,397 ,397 ,397 ,398 ,398 ,398 ,398 ,399 ,399 ,399 ,399 ,399 ,399 
경남김해시,4817000,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 ,463 
경남밀양시,4818000,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 ,799 
경남거제시,4819000,400 ,400 ,401 ,401 ,401 ,401 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,402 ,403 
경남양산시,4820000,484 ,484 ,484 ,484 ,484 ,484 ,484 ,484 ,485 ,485 ,485 ,485 ,485 ,485 ,485 ,485 ,485 
경남의령군,4871000,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 ,483 
경남함안군,4872000,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 ,417 
경남창녕군,4873000,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 ,533 
경남고성군,4874000,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,517 ,518 ,518 ,518 ,518 ,518 
경남남해군,4875000,357 ,357 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 ,358 
경남하동군,4876000,675 ,676 ,676 ,676 ,676 ,676 ,675 ,675 ,675 ,675 ,675 ,675 ,675 ,676 ,676 ,676 ,676 
경남산청군,4877000,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 ,795 
경남함양군,4878000,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 ,725 
경남거창군,4879000,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,804 ,803 ,803 ,803 ,803 ,803 ,803 
경남합천군,4880000,983 ,983 ,983 ,983 ,983 ,983 ,983 ,983 ,983 ,984 ,984 ,984 ,984 ,984 ,983 ,983 ,983 
