시도명,시군구명,읍면동명,인구사회 부문,산업경제 부문,물리환경 부문,과거대비인구변화(%),최근인구변화(연속감소년수),과거대비사업체변화(%),최근사업체변화(연속감소년수),노후건축물비율(%),부합부문(개수),2개 부문 이상 부합여부
경기도,경기도 용인시,모현면,X,X,X,30.69,0.00,14.68,0.00,29.29,0,X
경기도,경기도 용인시,남사면,O,X,X,-19.57,3.00,18.09,0.00,28.81,1,X
경기도,경기도 용인시,이동면,O,X,X,8.50,3.00,17.45,2.00,32.98,1,X
경기도,경기도 용인시,원삼면,X,X,X,-6.39,1.00,19.01,1.00,33.45,0,X
경기도,경기도 용인시,백암면,O,X,X,-1.36,5.00,8.68,0.00,39.11,1,X
경기도,경기도 용인시,양지면,X,X,X,34.53,0.00,12.28,1.00,27.73,0,X
경기도,경기도 용인시,중앙동,O,X,O,4.91,3.00,-1.37,1.00,56.45,2,O
경기도,경기도 용인시,역삼동,X,X,X,12.62,1.00,3.47,2.00,44.87,0,X
경기도,경기도 용인시,유림동,X,X,X,-0.44,1.00,3.46,0.00,40.14,0,X
경기도,경기도 용인시,동부동,X,X,X,6.55,1.00,2.93,1.00,38.34,0,X
경기도,경기도 용인시,구갈동,O,X,X,1.95,4.00,3.41,0.00,27.94,1,X
경기도,경기도 용인시,상갈동,X,X,X,0.26,1.00,4.11,0.00,19.35,0,X
경기도,경기도 용인시,기흥동,X,X,X,24.61,0.00,5.62,0.00,25.04,0,X
경기도,경기도 용인시,서농동,X,X,X,52.88,0.00,17.78,0.00,14.13,0,X
경기도,경기도 용인시,구성동,X,X,X,10.32,1.00,10.67,1.00,10.53,0,X
경기도,경기도 용인시,마북동,X,X,X,5.82,1.00,1.91,1.00,27.47,0,X
경기도,경기도 용인시,동백동,X,X,X,21.36,0.00,13.62,0.00,4.28,0,X
경기도,경기도 용인시,보정동,X,X,X,6.83,1.00,4.84,0.00,8.55,0,X
경기도,경기도 용인시,상하동,X,X,X,3.92,0.00,7.42,0.00,21.66,0,X
경기도,경기도 용인시,신갈동,O,X,X,-23.61,1.00,3.42,1.00,47.43,1,X
경기도,경기도 용인시,영덕동,X,X,X,20.74,0.00,16.61,0.00,10.48,0,X
경기도,경기도 용인시,풍덕천1동,X,X,O,-4.98,1.00,6.61,2.00,65.18,1,X
경기도,경기도 용인시,풍덕천2동,O,X,X,0.66,3.00,-3.29,1.00,0.66,1,X
경기도,경기도 용인시,신봉동,X,X,X,28.66,0.00,5.94,0.00,4.68,0,X
경기도,경기도 용인시,죽전1동,O,X,X,-0.02,3.00,0.15,0.00,3.68,1,X
경기도,경기도 용인시,죽전2동,O,X,X,-3.18,4.00,-1.57,1.00,4.94,1,X
경기도,경기도 용인시,동천동,X,X,X,10.33,0.00,8.42,0.00,6.90,0,X
경기도,경기도 용인시,상현1동,X,X,X,38.73,1.00,18.62,0.00,3.09,0,X
경기도,경기도 용인시,상현2동,X,X,X,-2.86,2.00,-1.64,1.00,0.00,0,X
경기도,경기도 용인시,성복동,X,X,X,29.80,1.00,5.36,0.00,4.24,0,X
경기도,경기도 파주시,문산읍,X,X,X,25.00,1.00,6.32,0.00,27.53,0,X
경기도,경기도 파주시,파주읍,O,X,X,-38.77,3.00,4.83,1.00,29.78,1,X
경기도,경기도 파주시,법원읍,O,X,X,-43.95,5.00,-4.31,1.00,29.31,1,X
경기도,경기도 파주시,조리읍,X,X,X,0.58,1.00,8.76,0.00,20.89,0,X
경기도,경기도 파주시,진동면,X,X,X,0.00,2.00,100.00,0.00,0.00,0,X
경기도,경기도 파주시,장단면,O,X,X,0.00,3.00,0.00,0.00,0.00,1,X
경기도,경기도 파주시,월롱면,O,X,X,5.99,5.00,10.33,1.00,16.16,1,X
경기도,경기도 파주시,탄현면,X,X,X,7.13,1.00,10.82,0.00,13.33,0,X
경기도,경기도 파주시,광탄면,O,X,X,-10.56,4.00,11.34,0.00,17.85,1,X
경기도,경기도 파주시,파평면,O,X,X,-51.56,5.00,3.27,2.00,27.19,1,X
경기도,경기도 파주시,적성면,O,X,X,-31.94,4.00,-4.23,1.00,25.71,1,X
경기도,경기도 파주시,군내면,X,O,X,-17.73,0.00,-8.00,1.00,13.38,1,X
경기도,경기도 파주시,금촌2동,O,X,X,-29.76,2.00,-1.75,2.00,1.64,1,X
경기도,경기도 파주시,금촌1동,O,O,X,-38.32,1.00,-4.39,3.00,37.85,2,O
경기도,경기도 파주시,금촌3동,X,X,X,0.00,1.00,0.55,0.00,20.59,0,X
경기도,경기도 파주시,교하동,O,X,X,-61.78,2.00,4.76,0.00,5.47,1,X
경기도,경기도 파주시,운정1동,X,X,X,0.00,0.00,16.13,0.00,7.16,0,X
경기도,경기도 파주시,운정2동,X,O,X,0.00,0.00,-13.93,0.00,0.00,1,X
경기도,경기도 파주시,운정3동,X,X,X,0.00,0.00,15.68,0.00,3.56,0,X
경기도,경기도 이천시,장호원읍,O,X,X,-25.09,1.00,-3.28,1.00,44.17,1,X
경기도,경기도 이천시,부발읍,X,X,X,-4.37,1.00,5.04,0.00,34.01,0,X
경기도,경기도 이천시,신둔면,X,X,X,13.52,2.00,11.96,0.00,31.54,0,X
경기도,경기도 이천시,백사면,X,X,X,-1.57,2.00,9.98,0.00,22.50,0,X
경기도,경기도 이천시,호법면,X,X,X,-2.66,0.00,1.69,0.00,29.45,0,X
경기도,경기도 이천시,마장면,X,X,X,16.77,1.00,9.95,0.00,30.60,0,X
경기도,경기도 이천시,대월면,O,X,X,-18.66,3.00,10.95,0.00,29.99,1,X
경기도,경기도 이천시,모가면,O,X,X,-29.06,5.00,17.68,1.00,26.50,1,X
경기도,경기도 이천시,설성면,O,X,X,-32.28,4.00,17.11,1.00,26.22,1,X
경기도,경기도 이천시,율면,O,X,X,-48.24,2.00,15.38,1.00,32.65,1,X
경기도,경기도 이천시,창전동,O,X,O,-59.10,5.00,-1.65,2.00,77.10,2,O
경기도,경기도 이천시,중리동,X,X,X,7.30,2.00,-0.29,1.00,46.72,0,X
경기도,경기도 이천시,관고동,X,X,O,-10.16,2.00,-1.42,1.00,52.28,1,X
경기도,경기도 이천시,증포동,X,X,X,6.87,0.00,1.04,1.00,20.68,0,X
경기도,경기도 안성시,공도읍,X,X,X,11.61,2.00,8.46,0.00,37.41,0,X
경기도,경기도 안성시,보개면,O,X,X,-40.13,4.00,8.66,0.00,34.23,1,X
경기도,경기도 안성시,금광면,O,X,X,-2.36,3.00,6.91,0.00,38.96,1,X
경기도,경기도 안성시,서운면,O,X,X,-38.37,4.00,0.78,0.00,46.50,1,X
경기도,경기도 안성시,미양면,X,X,X,-8.83,2.00,3.58,0.00,44.38,0,X
경기도,경기도 안성시,대덕면,O,X,X,-11.64,4.00,1.92,0.00,33.75,1,X
경기도,경기도 안성시,양성면,X,X,X,-14.46,1.00,5.47,0.00,35.49,0,X
경기도,경기도 안성시,원곡면,X,X,X,8.62,1.00,4.99,0.00,27.70,0,X
경기도,경기도 안성시,일죽면,O,X,X,-17.82,5.00,0.66,2.00,38.18,1,X
경기도,경기도 안성시,죽산면,X,X,X,3.13,1.00,0.58,0.00,43.06,0,X
경기도,경기도 안성시,삼죽면,O,O,X,-25.46,3.00,-9.26,1.00,37.28,2,O
경기도,경기도 안성시,고삼면,O,O,X,-37.72,2.00,-19.46,1.00,35.52,2,O
경기도,경기도 안성시,안성1동,O,X,O,-13.61,5.00,4.07,1.00,69.30,2,O
경기도,경기도 안성시,안성2동,O,X,O,4.77,5.00,3.29,0.00,54.29,2,O
경기도,경기도 안성시,안성3동,O,O,O,-7.00,5.00,-6.01,2.00,62.00,3,O
경기도,경기도 김포시,통진읍,X,X,X,9.05,2.00,9.23,0.00,20.27,0,X
경기도,경기도 김포시,고촌읍,X,X,X,7.68,1.00,14.02,0.00,22.00,0,X
경기도,경기도 김포시,양촌읍,X,X,X,48.45,0.00,19.83,1.00,13.73,0,X
경기도,경기도 김포시,대곶면,O,X,X,12.28,4.00,11.56,0.00,13.39,1,X
경기도,경기도 김포시,월곶면,O,X,X,-10.08,3.00,16.37,1.00,23.45,1,X
경기도,경기도 김포시,하성면,O,X,X,-15.46,3.00,1.99,0.00,22.44,1,X
경기도,경기도 김포시,김포1동,X,X,X,11.67,2.00,5.14,0.00,35.11,0,X
경기도,경기도 김포시,사우동,X,X,X,-5.31,2.00,0.99,1.00,35.51,0,X
경기도,경기도 김포시,풍무동,X,X,X,11.99,0.00,4.36,1.00,28.26,0,X
경기도,경기도 김포시,장기동,X,X,X,0.00,0.00,25.77,0.00,4.75,0,X
경기도,경기도 김포시,김포2동,X,X,X,16.24,1.00,33.57,0.00,14.58,0,X
경기도,경기도 김포시,구래동,X,O,X,0.00,0.00,-32.09,1.00,3.53,1,X
경기도,경기도 화성시,봉담읍,X,X,X,7.20,0.00,5.17,0.00,25.31,0,X
경기도,경기도 화성시,우정읍,X,X,X,-5.84,1.00,13.78,0.00,37.41,0,X
경기도,경기도 화성시,향남읍,X,X,X,31.69,0.00,13.13,0.00,21.64,0,X
경기도,경기도 화성시,남양읍,X,X,X,13.48,0.00,15.37,0.00,23.23,0,X
경기도,경기도 화성시,매송면,O,X,X,-12.24,5.00,2.28,0.00,48.99,1,X
경기도,경기도 화성시,비봉면,O,X,X,-12.88,5.00,10.07,0.00,36.96,1,X
경기도,경기도 화성시,마도면,X,X,X,6.67,0.00,21.09,0.00,19.26,0,X
경기도,경기도 화성시,송산면,O,X,X,-16.36,3.00,21.38,0.00,43.28,1,X
경기도,경기도 화성시,서신면,X,X,X,-12.91,1.00,18.34,0.00,30.53,0,X
경기도,경기도 화성시,팔탄면,X,X,X,7.76,2.00,12.48,0.00,15.50,0,X
경기도,경기도 화성시,장안면,O,X,X,-17.55,5.00,20.60,0.00,24.89,1,X
경기도,경기도 화성시,양감면,O,X,X,-25.54,3.00,24.36,0.00,24.74,1,X
경기도,경기도 화성시,정남면,O,X,X,0.28,5.00,9.62,0.00,22.14,1,X
경기도,경기도 화성시,동탄면,O,O,X,-80.29,2.00,-34.32,2.00,15.06,2,O
경기도,경기도 화성시,진안동,X,X,X,1.87,1.00,2.79,0.00,17.75,0,X
경기도,경기도 화성시,병점1동,X,X,X,2.87,1.00,3.49,1.00,28.57,0,X
경기도,경기도 화성시,병점2동,O,X,X,-1.53,3.00,1.91,1.00,2.33,1,X
경기도,경기도 화성시,반월동,X,X,X,29.11,1.00,0.06,0.00,11.38,0,X
경기도,경기도 화성시,기배동,X,X,X,-0.09,2.00,2.31,0.00,30.17,0,X
경기도,경기도 화성시,화산동,O,X,X,0.11,3.00,0.46,1.00,42.76,1,X
경기도,경기도 화성시,동탄2동,X,X,X,12.63,1.00,5.00,0.00,0.30,0,X
경기도,경기도 화성시,동탄1동,X,X,X,16.33,1.00,7.68,0.00,1.77,0,X
경기도,경기도 화성시,동탄3동,X,X,X,12.88,1.00,9.27,0.00,0.12,0,X
경기도,경기도 광주시,오포읍,X,X,X,55.41,0.00,11.21,0.00,16.30,0,X
경기도,경기도 광주시,초월읍,X,X,X,17.92,0.00,9.78,0.00,21.98,0,X
경기도,경기도 광주시,곤지암읍,X,X,X,2.31,2.00,7.02,1.00,32.13,0,X
경기도,경기도 광주시,도척면,X,X,X,13.76,2.00,9.87,0.00,27.53,0,X
경기도,경기도 광주시,퇴촌면,X,X,X,31.08,0.00,0.68,1.00,26.05,0,X
경기도,경기도 광주시,남종면,O,X,X,-41.70,4.00,3.33,1.00,22.49,1,X
경기도,경기도 광주시,중부면,O,X,X,-51.47,1.00,8.08,1.00,26.22,1,X
경기도,경기도 광주시,경안동,X,X,O,6.00,2.00,2.61,0.00,58.90,1,X
경기도,경기도 광주시,송정동,X,X,X,45.10,0.00,6.00,0.00,24.73,0,X
경기도,경기도 광주시,광남동,X,X,X,39.89,0.00,9.82,0.00,19.59,0,X
경기도,경기도 양주시,백석읍,O,X,X,0.81,5.00,3.24,1.00,33.12,1,X
경기도,경기도 양주시,은현면,O,X,X,-27.56,5.00,11.79,0.00,36.18,1,X
경기도,경기도 양주시,남면,O,X,X,-20.47,2.00,9.36,0.00,38.92,1,X
경기도,경기도 양주시,광적면,X,X,X,8.77,2.00,6.19,1.00,29.06,0,X
경기도,경기도 양주시,장흥면,O,X,X,-8.89,3.00,3.27,1.00,38.76,1,X
경기도,경기도 양주시,양주1동,O,O,O,-20.96,5.00,7.19,3.00,56.87,3,O
경기도,경기도 양주시,양주2동,X,X,X,5.05,1.00,5.43,0.00,19.98,0,X
경기도,경기도 양주시,회천1동,X,X,X,37.38,1.00,6.23,0.00,46.92,0,X
경기도,경기도 양주시,회천2동,O,O,O,1.02,4.00,-7.54,2.00,52.38,3,O
경기도,경기도 양주시,회천3동,X,X,X,-1.00,1.00,0.11,1.00,11.42,0,X
경기도,경기도 양주시,회천4동,X,O,X,28.74,2.00,-64.39,1.00,24.74,1,X
경기도,경기도 포천시,소흘읍,O,X,X,5.39,3.00,5.78,0.00,27.47,1,X
경기도,경기도 포천시,군내면,O,O,X,-17.28,4.00,3.75,3.00,32.66,2,O
경기도,경기도 포천시,내촌면,X,X,X,-11.06,2.00,2.24,1.00,20.11,0,X
경기도,경기도 포천시,가산면,O,X,X,-21.53,4.00,8.33,0.00,29.27,1,X
경기도,경기도 포천시,신북면,O,X,X,0.21,5.00,9.67,2.00,29.24,1,X
경기도,경기도 포천시,창수면,O,X,X,-36.23,5.00,4.94,0.00,43.12,1,X
경기도,경기도 포천시,영중면,O,X,X,-21.04,5.00,0.76,1.00,41.65,1,X
경기도,경기도 포천시,일동면,O,X,O,-10.05,3.00,1.80,1.00,50.27,2,O
경기도,경기도 포천시,이동면,O,O,O,-22.83,1.00,-7.98,2.00,56.68,3,O
경기도,경기도 포천시,영북면,O,O,O,-38.52,2.00,-7.34,2.00,51.02,3,O
경기도,경기도 포천시,관인면,O,O,O,-55.79,5.00,-32.08,4.00,56.75,3,O
경기도,경기도 포천시,화현면,O,X,X,-12.24,3.00,2.83,1.00,37.13,1,X
경기도,경기도 포천시,포천동,O,O,O,-0.43,4.00,-7.01,3.00,51.08,3,O
경기도,경기도 포천시,선단동,X,X,X,13.44,1.00,8.51,0.00,29.82,0,X
경기도,경기도 여주시,가납읍,O,X,X,-3.92,4.00,6.00,0.00,23.43,1,X
경기도,경기도 여주시,점동면,O,X,X,-32.93,1.00,9.03,1.00,22.08,1,X
경기도,경기도 여주시,능서면,O,O,X,-29.52,3.00,9.32,3.00,23.17,2,O
경기도,경기도 여주시,흥천면,O,X,X,-29.26,5.00,8.82,1.00,19.87,1,X
경기도,경기도 여주시,금사면,O,X,X,-49.72,1.00,0.50,2.00,22.56,1,X
경기도,경기도 여주시,산북면,X,X,X,-2.04,1.00,7.84,1.00,23.19,0,X
경기도,경기도 여주시,대신면,O,X,X,-35.27,3.00,1.70,2.00,25.85,1,X
경기도,경기도 여주시,북내면,O,X,X,-66.38,3.00,-1.05,1.00,24.33,1,X
경기도,경기도 여주시,강천면,O,X,X,-26.03,1.00,16.76,1.00,19.41,1,X
경기도,경기도 여주시,여흥동,X,X,X,0.00,1.00,-1.47,1.00,29.72,0,X
경기도,경기도 여주시,중앙동,X,X,X,0.00,2.00,1.08,1.00,44.55,0,X
경기도,경기도 여주시,오학동,X,X,X,0.00,0.00,12.17,0.00,36.61,0,X
경기도,경기도 연천군,연천읍,O,X,O,-48.44,1.00,-2.50,1.00,51.35,2,O
경기도,경기도 연천군,전곡읍,O,X,O,-4.02,3.00,-0.17,1.00,55.06,2,O
경기도,경기도 연천군,군남면,O,X,O,-54.74,1.00,2.62,0.00,57.72,2,O
경기도,경기도 연천군,청산면,O,X,O,-46.32,3.00,7.65,1.00,55.81,2,O
경기도,경기도 연천군,백학면,O,O,X,-51.23,3.00,-6.70,1.00,49.86,2,O
경기도,경기도 연천군,미산면,O,X,X,-52.57,1.00,-1.04,1.00,40.79,1,X
경기도,경기도 연천군,왕징면,O,X,O,-54.71,4.00,3.85,1.00,56.31,2,O
경기도,경기도 연천군,신서면,O,O,O,-60.02,3.00,-21.40,2.00,61.28,3,O
경기도,경기도 연천군,중면,O,X,X,-42.55,2.00,20.00,1.00,29.51,1,X
경기도,경기도 연천군,장남면,O,X,O,-44.97,0.00,12.00,1.00,52.01,2,O
경기도,경기도 가평군,가평읍,O,X,X,2.63,3.00,2.90,0.00,39.56,1,X
경기도,경기도 가평군,설악면,X,X,X,8.43,0.00,2.52,0.00,31.38,0,X
경기도,경기도 가평군,청평면,X,X,X,12.95,1.00,4.99,1.00,39.80,0,X
경기도,경기도 가평군,상면,O,X,X,-27.02,0.00,21.49,1.00,21.38,1,X
경기도,경기도 가평군,하면,X,X,X,3.53,2.00,11.48,1.00,40.72,0,X
경기도,경기도 가평군,북면,O,X,X,-28.71,1.00,8.70,0.00,23.71,1,X
경기도,경기도 양평군,양평읍,X,X,X,15.88,0.00,5.72,0.00,43.96,0,X
경기도,경기도 양평군,강상면,X,X,X,41.14,0.00,7.02,0.00,27.40,0,X
경기도,경기도 양평군,강하면,X,X,X,22.69,1.00,-0.47,0.00,24.18,0,X
경기도,경기도 양평군,양서면,X,X,X,27.07,0.00,4.76,0.00,31.41,0,X
경기도,경기도 양평군,옥천면,X,X,X,27.42,1.00,4.30,1.00,27.43,0,X
경기도,경기도 양평군,서종면,X,X,X,39.86,0.00,2.04,1.00,18.92,0,X
경기도,경기도 양평군,단월면,O,O,X,-23.09,0.00,-1.75,3.00,25.30,2,O
경기도,경기도 양평군,청운면,O,X,X,-37.87,1.00,6.84,1.00,45.22,1,X
경기도,경기도 양평군,양동면,O,O,O,-45.42,1.00,-5.51,1.00,51.17,3,O
경기도,경기도 양평군,지평면,O,X,X,-30.18,0.00,-0.37,1.00,37.12,1,X
경기도,경기도 양평군,용문면,X,X,X,8.41,0.00,7.88,1.00,37.15,0,X
경기도,경기도 양평군,개군면,X,X,X,-18.41,0.00,3.40,1.00,40.71,0,X
