name,population,population_year,business,business_year,old_building,pass
경기도 수원시 정자2동,-4.58,4,0.62,0,69.41,2
경기도 수원시 영화동,-17.91,4,-2.45,1,67.16,2
경기도 수원시 송죽동,-10.82,5,-2.82,2,70.77,2
경기도 수원시 조원1동,-8.37,5,-4.33,3,70.7,3
경기도 수원시 연무동,-35.83,5,-9.76,3,78.87,3
경기도 수원시 세류1동,-50.6,3,-61.54,1,78.33,3
경기도 수원시 세류2동,-28.98,2,-7.29,3,74.54,3
경기도 수원시 세류3동,-16.49,5,-4.59,1,76.53,2
경기도 수원시 평동,-4.88,4,6.77,0,50.13,2
경기도 수원시 서둔동,-2.12,5,6.12,0,53.15,2
경기도 수원시 구운동,-58.54,3,0.36,0,60.17,2
경기도 수원시 권선1동,-8.26,4,-2.06,1,71.36,2
경기도 수원시 지동,-50.76,5,-17.01,1,82.88,3
경기도 수원시 우만1동,-27.14,4,-0.84,2,79.31,2
경기도 수원시 매교동,-37.73,5,-12.43,0,80.25,3
경기도 수원시 매산동,-15.18,5,6.39,0,73.04,2
경기도 수원시 고등동,-63.33,5,-34.41,3,79,3
경기도 수원시 화서1동,-22,5,-5.71,1,74.81,3
경기도 수원시 행궁동,-10.95,5,-16.74,2,83.28,3
경기도 수원시 매탄1동,-8.77,4,-6.45,2,66.3,3
경기도 수원시 매탄2동,-63.11,5,-3.79,2,84.93,2
경기도 수원시 매탄4동,-19.2,5,-8.48,2,86.08,3
경기도 성남시 신흥1동,-36.16,4,-20.37,3,87.71,3
경기도 성남시 신흥2동,-20.42,5,-2.39,1,89.19,2
경기도 성남시 신흥3동,-38.17,5,-6.02,2,88.22,3
경기도 성남시 태평1동,-23.15,5,-2.49,2,83.45,2
경기도 성남시 태평2동,-50.19,5,-7.01,1,85.21,3
경기도 성남시 태평3동,-30.54,5,-22.63,2,85.35,3
경기도 성남시 태평4동,-31.1,5,-14.81,2,90.31,3
경기도 성남시 수진1동,-41.11,5,-10.77,3,89.38,3
경기도 성남시 수진2동,-18.53,5,-7.85,2,81.67,3
경기도 성남시 단대동,-19.36,2,-10.17,1,69.32,2
경기도 성남시 산성동,-32.03,5,-8.41,1,82.48,3
경기도 성남시 양지동,-6.8,4,-3.56,1,71.27,2
경기도 성남시 고등동,-55.1,4,-8.33,1,44.32,2
경기도 성남시 성남동,-9.03,4,-1.38,1,69.28,2
경기도 성남시 금광1동,-34.73,5,-11.63,2,92.22,3
경기도 성남시 금광2동,-22.73,5,-4.4,1,80.91,2
경기도 성남시 은행1동,-25.62,5,-15.48,2,84.36,3
경기도 성남시 은행2동,-38.68,5,-17.5,1,79.83,3
경기도 성남시 상대원1동,-22.25,5,5.73,0,72.23,2
경기도 성남시 상대원2동,-44.24,5,-2.83,1,92.98,2
경기도 성남시 상대원3동,-42.54,4,-9.67,2,90.42,3
경기도 성남시 하대원동,-4.37,4,0.66,1,70.39,2
경기도 성남시 중앙동,-36.64,1,-15.99,4,85.67,3
경기도 성남시 분당동,-8.55,5,-0.5,0,56.8,2
경기도 성남시 수내3동,-7.17,5,0.2,2,59.13,2
경기도 성남시 수내2동,-12.5,4,-0.96,2,96.39,2
경기도 성남시 정자2동,-71.41,3,-4.74,1,91.89,2
경기도 성남시 정자3동,-1.44,5,-7.61,2,53.81,3
경기도 성남시 정자1동,-42.66,2,5.63,1,73.07,2
경기도 성남시 서현2동,-10.97,5,-1.24,1,67.99,2
경기도 성남시 이매2동,-13.45,5,-4.41,1,96.84,2
경기도 성남시 야탑1동,-10.18,5,3.69,1,67.01,2
경기도 성남시 야탑3동,-9.14,5,8.5,1,64.07,2
경기도 성남시 야탑2동,-17,4,0.19,1,85.36,2
경기도 성남시 구미동,-10.78,4,7.59,1,53.97,2
경기도 의정부시 의정부1동,-2.86,2,-4.62,3,82.58,2
경기도 의정부시 의정부3동,-20.97,3,-2.09,1,86.7,2
경기도 의정부시 신곡1동,-7.18,5,-4.15,1,69.35,2
경기도 의정부시 송산1동,-2.02,5,0.89,0,55.93,2
경기도 의정부시 자금동,-3.55,5,3.74,1,68.91,2
경기도 의정부시 가능1동,-31.57,4,-1.48,2,86.98,2
경기도 의정부시 가능2동,-34.32,4,-10.9,2,83.63,3
경기도 의정부시 가능3동,-26.79,5,-9.65,1,84.57,3
경기도 의정부시 호원2동,-2.96,4,4.36,1,55.31,2
경기도 안양시 안양1동,-5.4,2,-2.23,3,78.5,2
경기도 안양시 안양2동,-26.49,3,-0.43,1,76.48,2
경기도 안양시 안양3동,-51.84,5,-4.02,2,73.73,2
경기도 안양시 안양4동,-35.6,3,-13.76,2,79.23,3
경기도 안양시 안양5동,-24.79,2,-7.09,2,81.13,3
경기도 안양시 안양6동,-38.73,2,-0.63,1,75.93,2
경기도 안양시 안양7동,-85.46,4,-23.17,3,68.18,3
경기도 안양시 안양8동,-27.12,4,4.9,1,80.72,2
경기도 안양시 안양9동,-4.62,3,-8.74,2,66.34,3
경기도 안양시 석수3동,-23.71,5,-7.78,1,82.99,3
경기도 안양시 박달1동,-23.36,3,-2.86,2,80.6,2
경기도 안양시 비산2동,-47.41,5,0.66,1,66.76,2
경기도 안양시 비산3동,-17.5,5,0,1,77.9,2
경기도 안양시 부흥동,-21.71,5,2.79,0,87.96,2
경기도 안양시 달안동,-31.93,3,5.64,0,79.73,2
경기도 안양시 관양1동,14.69,3,7.15,1,70.57,2
경기도 안양시 관양2동,-21.61,4,13.57,0,67.29,2
경기도 안양시 부림동,-7.94,3,2.14,1,63.48,2
경기도 안양시 평안동,-13.59,5,3.55,1,88.2,2
경기도 안양시 귀인동,-6.01,5,-1.75,1,73.37,2
경기도 안양시 호계1동,-56.45,5,-0.88,2,81.5,2
경기도 안양시 호계2동,-6.38,5,0.26,1,72.85,2
경기도 안양시 범계동,-18.95,5,-0.63,1,77.33,2
경기도 안양시 신촌동,-13.22,5,-1.26,1,71.24,2
경기도 부천시 심곡1동,-60.76,2,-5.3,1,74.98,3
경기도 부천시 심곡3동,-65.82,5,-15.47,2,80.66,3
경기도 부천시 원미1동,-19.51,3,-1.64,2,78.57,2
경기도 부천시 원미2동,-36.8,5,-13.59,3,86.01,3
경기도 부천시 소사동,-30.23,4,-10.18,3,78.49,3
경기도 부천시 춘의동,-32.92,4,-0.7,1,66.56,2
경기도 부천시 도당동,-13.95,5,1.13,1,66.7,2
경기도 부천시 약대동,-7.4,0,-17.44,0,58.82,2
경기도 부천시 중동,-25.66,3,-4.28,3,80.5,3
경기도 부천시 중3동,-32.44,3,-0.35,1,55.91,2
경기도 부천시 중4동,-21.1,4,1.75,0,80.8,2
경기도 부천시 상동,-16.64,2,-21.56,3,78.98,2
경기도 부천시 상1동,-19.71,5,-2.15,1,81.37,2
경기도 부천시 심곡본1동,-19.63,2,-8.08,4,78.28,2
경기도 부천시 심곡본동,-20.64,4,-4.64,1,82.12,2
경기도 부천시 소사본3동,-5.31,5,-4.29,2,84.21,2
경기도 부천시 괴안동,-34.77,4,-1.27,2,65.77,2
경기도 부천시 역곡3동,-8.47,4,-1.37,1,53.37,2
경기도 부천시 송내1동,-3.96,5,-0.51,1,60.37,2
경기도 부천시 송내2동,-2.97,4,-12.26,1,69.02,3
경기도 부천시 소사본동,0,2,-16.14,2,80.25,2
경기도 부천시 성곡동,-2.61,5,4.01,1,55.58,2
경기도 부천시 원종1동,-14.99,4,-1.3,2,68.45,2
경기도 부천시 원종2동,-12.2,5,-14.82,3,77.03,3
경기도 부천시 고강본동,-35.86,5,0,0,74.89,2
경기도 부천시 고강1동,-13.47,4,-5.34,1,68.37,3
경기도 부천시 신흥동,-25.06,4,4.02,0,65.3,2
경기도 광명시 광명1동,-20.41,5,-3.97,1,84.06,2
경기도 광명시 광명2동,-24.77,5,-14.12,2,83.01,3
경기도 광명시 광명3동,-30.24,5,-5.65,3,85.64,3
경기도 광명시 광명4동,-17.63,5,-4.84,2,77.6,2
경기도 광명시 광명5동,-26.8,5,-3.51,1,74.41,2
경기도 광명시 광명7동,-15.81,5,1.11,1,76.41,2
경기도 광명시 철산1동,-5.42,5,-0.59,1,67.89,2
경기도 광명시 철산2동,-37.43,5,-2.72,1,93.69,2
경기도 광명시 철산3동,-8.45,4,0.52,1,76.95,2
경기도 광명시 철산4동,-18.2,5,0.67,1,81.58,2
경기도 광명시 하안1동,-10.49,3,3.44,0,62.96,2
경기도 광명시 하안2동,-71.37,5,0.47,2,97.26,2
경기도 광명시 하안3동,-25.63,5,-2.6,2,86.47,2
경기도 광명시 하안4동,-17.24,5,-6.96,2,94.37,3
경기도 평택시 고덕면,-20.76,5,-27.32,3,30.52,2
경기도 평택시 서정동,-12.83,5,-6.76,2,72.26,3
경기도 평택시 지산동,-10.82,0,-26.83,1,65.38,2
경기도 평택시 신장1동,-34.06,1,-20.41,2,60.58,3
경기도 평택시 신장2동,-55.44,5,-36.54,3,83.33,3
경기도 평택시 통복동,-49.03,5,-21.77,2,79.43,3
경기도 평택시 세교동,-12.89,5,-5.59,1,44.31,2
경기도 동두천시 생연1동,-15.06,2,-15.53,5,74.76,2
경기도 동두천시 생연2동,-5.57,5,-11.19,3,73.2,3
경기도 동두천시 중앙동,-34.29,5,-23.04,3,79.97,3
경기도 동두천시 보산동,-49.59,2,-17.43,5,75.87,3
경기도 동두천시 불현동,-32,0,4.68,1,55.99,2
경기도 동두천시 상패동,-34.3,5,6.27,2,55.87,2
경기도 안산시 본오2동,-27.08,5,-7.7,1,43.15,2
경기도 안산시 본오3동,-9.34,4,1.89,0,50.27,2
경기도 안산시 성포동,-20.77,5,-2.5,1,85.38,2
경기도 안산시 고잔1동,-31.87,5,-3.14,1,69.34,2
경기도 안산시 고잔2동,-18.9,5,3.81,1,62.08,2
경기도 안산시 원곡1동,-67.16,5,-16.7,2,66.75,3
경기도 안산시 원곡2동,-6.08,5,-9.62,3,13.16,2
경기도 안산시 선부1동,-37.5,5,4.35,2,87.56,2
경기도 안산시 선부2동,-23.42,5,0.07,1,62.86,2
경기도 안산시 선부3동,-13.15,5,3.69,0,58.25,2
경기도 고양시 주교동,-12.32,5,-7.13,2,65.49,3
경기도 고양시 성사1동,-1.26,4,-1.22,1,65.59,2
경기도 고양시 효자동,-77.85,4,-64.78,2,40.26,2
경기도 고양시 화정1동,-12.5,5,3.82,0,55.73,2
경기도 고양시 행주동,-12.09,5,1.08,1,58.93,2
경기도 고양시 행신1동,-63.59,5,-0.4,1,64.08,2
경기도 고양시 행신2동,-14.92,5,3.92,1,52.25,2
경기도 고양시 화전동,-80.37,2,-41.21,3,20.37,2
경기도 고양시 백석1동,-5.34,4,16.94,0,59.52,2
경기도 고양시 마두1동,-11.33,5,-0.65,1,50.39,2
경기도 고양시 마두2동,-48.42,5,7.89,0,87.16,2
경기도 고양시 백석2동,-4.72,3,11.6,0,51.81,2
경기도 고양시 일산2동,-45.28,4,0.55,1,53.84,2
경기도 고양시 일산3동,-14.83,5,0.39,1,85.82,2
경기도 고양시 주엽1동,-28.67,5,-4.38,2,88.68,2
경기도 고양시 주엽2동,-28.22,5,2.97,0,79.57,2
경기도 과천시 중앙동,-13.22,5,-0.88,1,74.75,2
경기도 과천시 별양동,-15.82,5,-10.86,3,82.93,3
경기도 과천시 부림동,-17.8,5,-5.33,3,94.44,3
경기도 구리시 갈매동,-77.98,4,-21.59,3,37.81,2
경기도 구리시 인창동,-3.62,3,3.67,0,67,2
경기도 구리시 교문1동,-13.3,5,1.72,0,69.27,2
경기도 구리시 교문2동,-8.52,5,2.76,1,86.08,2
경기도 구리시 수택1동,-9.89,5,0.6,0,83.62,2
경기도 구리시 수택2동,-5.48,3,-5.38,3,85.2,3
경기도 남양주시 금곡동,-11.28,5,1.37,1,56.35,2
경기도 남양주시 지금동,-10.16,4,-11.08,3,31.01,2
경기도 남양주시 도농동,2.07,1,-9.33,2,64.26,2
경기도 오산시 중앙동,-8.56,4,-0.83,0,60.33,2
경기도 시흥시 대야동,-10.82,5,-3.34,1,52.02,2
경기도 시흥시 신천동,-4.21,4,0.43,1,60.55,2
경기도 시흥시 은행동,-7.76,5,-8.21,1,35.46,2
경기도 군포시 군포1동,-0.95,3,2.74,0,65.39,2
경기도 군포시 산본1동,-24.99,5,-1.54,1,75.25,2
경기도 군포시 산본2동,-0.81,3,-0.65,1,70.94,2
경기도 군포시 금정동,-39.37,4,-4.78,2,73.88,2
경기도 군포시 재궁동,-24.25,5,-4.38,2,87.2,2
경기도 군포시 오금동,-16.85,5,-5.45,2,81.74,3
경기도 군포시 수리동,-21.67,5,-0.43,1,82.61,2
경기도 군포시 궁내동,-11.88,5,-0.55,1,95.59,2
경기도 군포시 광정동,-8.44,5,0.3,1,83.05,2
경기도 의왕시 고천동,-14.22,4,3.6,0,62.55,2
경기도 의왕시 부곡동,-9.98,4,2.76,0,53.93,2
경기도 의왕시 오전동,-8.08,5,0.2,0,60,2
경기도 의왕시 내손2동,15.64,3,0.11,0,83.87,2
경기도 하남시 신장1동,-28.44,5,-6.52,3,87.4,3
경기도 하남시 신장2동,-2.4,3,2.05,1,65.02,2
경기도 하남시 덕풍1동,-3.88,4,-11.43,2,76.28,3
경기도 하남시 덕풍2동,-4.13,5,-2.52,2,85.27,2
경기도 하남시 풍산동,-92.41,3,-55.64,4,21.8,2
경기도 용인시 중앙동,4.91,3,-1.37,1,56.45,2
경기도 파주시 금촌1동,-38.32,1,-4.39,3,37.85,2
경기도 이천시 창전동,-59.1,5,-1.65,2,77.1,2
경기도 안성시 삼죽면,-25.46,3,-9.26,1,37.28,2
경기도 안성시 고삼면,-37.72,2,-19.46,1,35.52,2
경기도 안성시 안성1동,-13.61,5,4.07,1,69.3,2
경기도 안성시 안성2동,4.77,5,3.29,0,54.29,2
경기도 안성시 안성3동,-7,5,-6.01,2,62,3
경기도 화성시 동탄면,-80.29,2,-34.32,2,15.06,2
경기도 양주시 양주1동,-20.96,5,7.19,3,56.87,3
경기도 양주시 회천2동,1.02,4,-7.54,2,52.38,3
경기도 포천시 군내면,-17.28,4,3.75,3,32.66,2
경기도 포천시 일동면,-10.05,3,1.8,1,50.27,2
경기도 포천시 이동면,-22.83,1,-7.98,2,56.68,3
경기도 포천시 영북면,-38.52,2,-7.34,2,51.02,3
경기도 포천시 관인면,-55.79,5,-32.08,4,56.75,3
경기도 포천시 포천동,-0.43,4,-7.01,3,51.08,3
경기도 여주시 능서면,-29.52,3,9.32,3,23.17,2
경기도 연천군 연천읍,-48.44,1,-2.5,1,51.35,2
경기도 연천군 전곡읍,-4.02,3,-0.17,1,55.06,2
경기도 연천군 군남면,-54.74,1,2.62,0,57.72,2
경기도 연천군 청산면,-46.32,3,7.65,1,55.81,2
경기도 연천군 백학면,-51.23,3,-6.7,1,49.86,2
경기도 연천군 왕징면,-54.71,4,3.85,1,56.31,2
경기도 연천군 신서면,-60.02,3,-21.4,2,61.28,3
경기도 연천군 장남면,-44.97,0,12,1,52.01,2
경기도 양평군 단월면,-23.09,0,-1.75,3,25.3,2
경기도 양평군 양동면,-45.42,1,-5.51,1,51.17,3
